case_number,plot,focal_node,focal_area_id,school_id,centroid_node,centroid_area_id,distance_to_centroid_miles,plot_radius_miles,closer_candidate_count
86,case_0086_block_60750126022015_school_562.png,630,60750126022015,562,142,60750104003012,1.1363461042957002,,0
87,case_0087_block_60750126022015_school_569.png,630,60750126022015,569,5982,60750402001005,2.4806100119796497,,0
88,case_0088_block_60750126022015_school_575.png,630,60750126022015,575,4995,60750311001020,4.941652290477733,,0
89,case_0089_block_60750126022015_school_589.png,630,60750126022015,589,1499,60750171022001,3.076082529444471,,0
90,case_0090_block_60750126022015_school_593.png,630,60750126022015,593,4061,60750263022007,6.513685318919139,,0
91,case_0091_block_60750126022015_school_603.png,630,60750126022015,603,2712,60750228031005,3.488007037010082,,0
92,case_0092_block_60750126022015_school_614.png,630,60750126022015,614,3501,60750256002003,5.267592123054462,,0
93,case_0093_block_60750126022015_school_625.png,630,60750126022015,625,2895,60750231022004,5.559985986319207,,0
94,case_0094_block_60750126022015_school_638.png,630,60750126022015,638,238,60750107002003,1.007250694046258,,0
95,case_0095_block_60750126022015_school_644.png,630,60750126022015,644,4319,60750302012005,3.922615744453783,,0
96,case_0096_block_60750126022015_school_650.png,630,60750126022015,650,1417,60750168022001,2.1076847300273114,,0
97,case_0097_block_60750126022015_school_656.png,630,60750126022015,656,3265,60750254013000,4.661751756061184,,0
98,case_0098_block_60750126022015_school_670.png,630,60750126022015,670,5647,60750332011002,5.949766898812616,,0
99,case_0099_block_60750126022015_school_680.png,630,60750126022015,680,3150,60750252001002,3.9965198496594017,,0
100,case_0100_block_60750126022015_school_691.png,630,60750126022015,691,4093,60750263031002,6.597340387608212,,0
101,case_0101_block_60750126022015_school_718.png,630,60750126022015,718,1450,60750170001006,2.631262225199489,,0
102,case_0102_block_60750126022015_school_722.png,630,60750126022015,722,4625,60750307001022,4.694488989860174,,0
103,case_0103_block_60750126022015_school_723.png,630,60750126022015,723,2707,60750228031000,3.3956674066389643,,0
104,case_0104_block_60750126022015_school_729.png,630,60750126022015,729,3738,60750260011000,5.434307675340824,,0
105,case_0105_block_60750126022015_school_735.png,630,60750126022015,735,1320,60750165003002,2.436842030408227,,0
106,case_0106_block_60750126022015_school_746.png,630,60750126022015,746,5155,60750313021003,6.397473996662344,,0
